step,loss,eval_loss
100,0.251640,0.271587
200,0.296990,0.263013
300,0.275525,0.262146
400,0.251433,0.260390
500,0.290530,0.259081
600,0.257609,0.258770
700,0.285332,0.258720
800,0.253748,0.258055
900,0.257520,0.258208
1000,0.244902,0.259356
1100,0.270720,0.257960
1200,0.259669,0.257789
1300,0.260451,0.256967
1400,0.264593,0.257867
1500,0.261016,0.257437
1600,0.253146,0.257614
1700,0.246152,0.257000
1800,0.266456,0.257129
1900,0.236224,0.257097
2000,0.253622,0.257010
2100,0.270248,0.257355
2200,0.244841,0.257100
2300,0.255327,0.257119
2365,0.268769,0.257112
